Model,WISmodel,Location,plausible_scenario,Baseline_model,WISbaseline,Label,Target,WISratio,Round
MOBS_NEU-GLEAM_COVID,22.443123477439276,West Virginia,Scenario B,COVIDhub-baseline_4wks,17.019208258768018,Baseline,death,1.3186937451027985,13
MOBS_NEU-GLEAM_COVID,22.443123477439276,West Virginia,Scenario B,COVIDhub-ensemble_4wks,9.369616368286446,Baseline,death,2.3953086866398317,13
MOBS_NEU-GLEAM_COVID,34.52186083051381,Wisconsin,Scenario B,COVIDhub-baseline_4wks,26.55389120670064,Baseline,death,1.300067871853091,13
MOBS_NEU-GLEAM_COVID,34.52186083051381,Wisconsin,Scenario B,COVIDhub-ensemble_4wks,18.60238704177323,Baseline,death,1.855775861075896,13
MOBS_NEU-GLEAM_COVID,3.128285661431345,Wyoming,Scenario B,COVIDhub-baseline_4wks,3.6029774810970627,Baseline,death,0.8682501286349478,13
MOBS_NEU-GLEAM_COVID,3.128285661431345,Wyoming,Scenario B,COVIDhub-ensemble_4wks,1.8874168797953963,Baseline,death,1.6574428759853328,13
MOBS_NEU-GLEAM_COVID,40.344681995197426,Alabama,Scenario A,COVIDhub-baseline_4wks,24.8759883396387,Baseline,death,1.621832324583868,14
MOBS_NEU-GLEAM_COVID,40.344681995197426,Alabama,Scenario A,COVIDhub-ensemble_4wks,13.28927536231884,Baseline,death,3.035882762245488,14
MOBS_NEU-GLEAM_COVID,11.654142074072745,Alaska,Scenario A,COVIDhub-baseline_4wks,6.165563390145048,Baseline,death,1.8901990518337002,14
MOBS_NEU-GLEAM_COVID,11.654142074072745,Alaska,Scenario A,COVIDhub-ensemble_4wks,5.648639910813824,Baseline,death,2.0631766687343474,14
MOBS_NEU-GLEAM_COVID,140.264508548806,Arizona,Scenario A,COVIDhub-baseline_4wks,34.15237153717802,Baseline,death,4.107021042334208,14
MOBS_NEU-GLEAM_COVID,140.264508548806,Arizona,Scenario A,COVIDhub-ensemble_4wks,14.283021181716835,Baseline,death,9.820366907272629,14
MOBS_NEU-GLEAM_COVID,63.54956114682696,Arkansas,Scenario A,COVIDhub-baseline_4wks,18.88631969304531,Baseline,death,3.364846205067069,14
MOBS_NEU-GLEAM_COVID,63.54956114682696,Arkansas,Scenario A,COVIDhub-ensemble_4wks,13.737881828316613,Baseline,death,4.625863138219619,14
MOBS_NEU-GLEAM_COVID,496.4355382666957,California,Scenario A,COVIDhub-baseline_4wks,88.32828478860988,Baseline,death,5.6203461830463635,14
MOBS_NEU-GLEAM_COVID,496.4355382666957,California,Scenario A,COVIDhub-ensemble_4wks,47.51552954292085,Baseline,death,10.4478586904575,14
MOBS_NEU-GLEAM_COVID,75.96470811917096,Colorado,Scenario A,COVIDhub-baseline_4wks,16.407707043869216,Baseline,death,4.6298186526651435,14
MOBS_NEU-GLEAM_COVID,75.96470811917096,Colorado,Scenario A,COVIDhub-ensemble_4wks,10.283010033444818,Baseline,death,7.387399980365741,14
MOBS_NEU-GLEAM_COVID,61.317834347278456,Connecticut,Scenario A,COVIDhub-baseline_4wks,14.827894851187088,Baseline,death,4.135302749491071,14
MOBS_NEU-GLEAM_COVID,61.317834347278456,Connecticut,Scenario A,COVIDhub-ensemble_4wks,10.81248606465998,Baseline,death,5.6710208901625725,14
MOBS_NEU-GLEAM_COVID,23.535689003258078,Delaware,Scenario A,COVIDhub-baseline_4wks,5.89025335517792,Baseline,death,3.9957006233982546,14
MOBS_NEU-GLEAM_COVID,23.535689003258078,Delaware,Scenario A,COVIDhub-ensemble_4wks,4.254314381270904,Baseline,death,5.532193179439455,14
MOBS_NEU-GLEAM_COVID,18.168318656987132,District of Columbia,Scenario A,COVIDhub-baseline_4wks,1.971956423457769,Baseline,death,9.21334692839181,14
MOBS_NEU-GLEAM_COVID,18.168318656987132,District of Columbia,Scenario A,COVIDhub-ensemble_4wks,1.3653288740245266,Baseline,death,13.306917478008861,14
MOBS_NEU-GLEAM_COVID,613.9977946885596,Florida,Scenario A,COVIDhub-baseline_4wks,104.26961151760294,Baseline,death,5.888559339121577,14
MOBS_NEU-GLEAM_COVID,613.9977946885596,Florida,Scenario A,COVIDhub-ensemble_4wks,108.38558528428094,Baseline,death,5.664939605004902,14
MOBS_NEU-GLEAM_COVID,194.9952708996796,Georgia,Scenario A,COVIDhub-baseline_4wks,37.46974643165384,Baseline,death,5.2040723375419145,14
